Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2,Price_range
Over The Top - Live Barbeque Grill,"North Indian, Mughlai, Asian, Italian, Fast Food, BBQ",1400," Janakpuri, New Delhi",4.0,1011,3.7,1186,https://www.zomato.com/ncr/over-the-top-live-barbeque-grill-janakpuri-new-delhi,"B 1/633, 3rd Floor, Near Max Showroom, Janakpuri, New Delhi",9.199E+11,28.63196667,77.08454065,"Everthing is Perfect, Ambience is very Nice, Amazing Food and Experience, Weekend Brunch, Good Music, Elaborate Menu",High(>1000)
Miss Nora,"Asian, Japanese, Sushi, Oriental, Desserts, Beverages",1600," Rajouri Garden, New Delhi",4.0,167,4.3,770,https://www.zomato.com/ncr/miss-nora-rajouri-garden-new-delhi,"103, 104, 1st Floor, Rcube Monad Mall, Rajouri Garden, New Delhi",9.19999E+11,28.65051626,77.12185856,"Best Staff, Sanitised Service, Nice Concept, Variety of Pizza, Served Quickly, Clean and Hygienic Place",High(>1000)
Ambra,"Italian, Fast Food, Desserts, Panini, Beverages, Salad",2000," Greater Kailash 2 (GK2), New Delhi",4.0,114,4.3,260,https://www.zomato.com/ncr/ambra-greater-kailash-gk-2-new-delhi,"Shop 1, Narmada Shopping Complex, Alaknanda, Greater Kailash 2 (GK 2), New Delhi",9.19311E+11,28.52780512,77.24695947,"Crispy Honey Potatoes, Soya Tikka, Chicken Keema, Fish Fingers, Mocktail, Chilli Potatoes",High(>1000)
Sky Heart Lounge And Bar,"Bar Food, Chinese, Mughlai, North Indian, Fast Food, Desserts",1100," Punjabi Bagh, New Delhi",4.0,647,3.4,29,https://www.zomato.com/ncr/sky-heart-lounge-and-bar-punjabi-bagh-new-delhi,"Plot 9, 3rd Floor, Club Road, Punjabi Bagh, New Delhi",9.19822E+11,28.6666065,77.12290496,"Classic Hot Chocolate, Double Decker Sandwich, Banana Walnut Cake, Veg Club Sandwich, Mushroom Sandwich, Paneer Tikka Sandwich",High(>1000)
Jugmug Thela,"Cafe, Italian, Fast Food, Sandwich",600," Champa Gali, Saket, New Delhi",4.0,1474,4.4,138,https://www.zomato.com/ncr/jugmug-thela-saket-new-delhi,"Shed 4, Khasra 258, Lane 3, Westend Marg, Saidulajab, Near Kuldeep House, Saket, New Delhi",9.19199E+13,28.51729144,77.19979014,"Croissant, Ravioli, Lasagna, Cheesecake, Pizzas, Desserts",Low(<600)
Masson's,"Cafe, Bakery, Italian, Desserts, Pizza, Beverages",700," Model Town 2, New Delhi",4.0,148,4.3,630,https://www.zomato.com/ncr/massons-model-town-2-new-delhi,"B-3, 1st Floor, Model Town 2, New Delhi",9.18861E+11,28.70510493,77.19005808,"Music and Ambience, Service Time, Huge Place, Ambience was Super Cool, Rooftop, Customizable Dishes",Medium(600-100)
Pavilion 75 - WelcomHotel Dwarka,"North Indian, Continental, Italian, Desserts",1800," WelcomHotel Dwarka, Sector 10, Dwarka, New Delhi",4.0,502,4.2,151,https://www.zomato.com/ncr/pavilion-75-welcomhotel-dwarka-sector-10-dwarka-new-delhi,"Plot 3, Sector 10, Dwarka, New Delhi",+91 8068972893,28.5794481,77.0567208,"Neapolitan Style Pizza, Vietnamese Coffee, Spicy Lamb, Classic Margherita Pizza, Pepperoni Pizza, Pastas",High(>1000)
PLATE,"Asian, Continental, Japanese",1800," DLF Promenade Mall, Vasant Kunj, New Delhi",4.0,193,3.5,33,https://www.zomato.com/ncr/plate-vasant-kunj-new-delhi,"122-124, Ground Floor, DLF Promenade Mall, Nelson Mandela Marg, Vasant Kunj, New Delhi",9.19899E+11,28.54275489,77.1567028,"Fair Prices, Decoration, Weekend Brunch, View, Good Music, Table",High(>1000)
The Backyard,"Italian, Mexican, Continental",1800," Punjabi Bagh, New Delhi",4.0,856,4.3,949,https://www.zomato.com/ncr/the-backyard-punjabi-bagh-new-delhi,"49, Ground Floor, North West Avenue, Club Road, Punjabi Bagh, New Delhi",9.19555E+11,28.66702629,77.11991865,"Nawabi Paneer, Tandoori Soya Chaap, Dosa, Momos, Fries",High(>1000)
Mai Bao,"Singaporean, Seafood, Chinese, Momos",1300," DLF Avenue, Saket, New Delhi",4.0,72,3.9,28,https://www.zomato.com/ncr/mai-bao-saket-new-delhi,"DLF Avenue Mall, Saket, New Delhi",9.19972E+11,28.5280631,77.21701853,"Teriyaki Chicken, Grilled Chicken Steak, Cocktail, Drinks",High(>1000)
Dine House,"North Indian, Chinese, Lebanese, Continental, Italian, Beverages",1000," Rohini, New Delhi",4.0,354,4.3,109,https://www.zomato.com/ncr/dine-house-rohini-new-delhi,"602 And 603, 6th Floor, Unity One Mall, Rohini, New Delhi",9.1999E+11,28.71511907,77.11642373,"Rooftop Ambience, View, Crowd, Table, Perfect Place, Service",Medium(600-100)
Chocolateria San Churro,"Cafe, Bakery, Desserts",1000," M Block Market, Greater Kailash 2 (GK2), New Delhi",4.0,1168,4.0,1942,https://www.zomato.com/ncr/chocolateria-san-churro-greater-kailash-gk-2-new-delhi,"1, M Block Market, Greater Kailash 2, New Delhi",9146597619,28.53456997,77.2437093,"Chocolate Nutella, Bbq Pizza, Peri Fries, Green Apple Mojito, Mixed Sauce Pasta, Kit Kat Shake",Medium(600-100)
The Hogwarts Kafe,"Sandwich, Burger, Chinese, Continental, North Indian, Mughlai, Desserts, Beverages",1000," Ashok Vihar Phase 2, New Delhi",4.0,481,4.2,171,https://www.zomato.com/ncr/the-hogwarts-kafe-ashok-vihar-phase-2-new-delhi,"C 2/19, Upper Ground Floor, Ashok Vihar Phase 2, New Delhi",9.11141E+11,28.6960789,77.1716172,"Kaju Barfi, Puri Sabzi, Kaju Katli, Golgappe, Raj Kachori, Masala Dosa",Medium(600-100)
Cafe 27,"North Indian, Chinese, Fast Food",1900," Kailash Colony, New Delhi",4.0,1200,3.9,18,https://www.zomato.com/ncr/cafe-27-kailash-colony-new-delhi,"26, Level 2, Kailash Colony Market, Kailash Colony, New Delhi",9.19811E+11,28.55666183,77.25425038,"Shroom Burger, Tuna Sandwich, Classic Chicken Burger, Creamy Mushroom, Grilled Sandwich, Potato Wedges",High(>1000)
Bob's Den,"Cafe, Fast Food, Burger, Pizza, Tea, Beverages",800," Greater Kailash 1 (GK1), New Delhi",4.0,126,4.3,151,https://www.zomato.com/ncr/bobs-den-greater-kailash-gk-1-new-delhi,"N -18, Ground Floor, N Block Market, Greater Kailash 1 (GK 1), New Delhi",9.1721E+11,28.55645216,77.23290302,"Ambience is Cool, Sanitised Service, Cooperative Staff, Comforting Atmosphere, Fantastic Decoration, Clean and Hygienic Place",Medium(600-100)
The Crypto Door,"Cafe, Sandwich, Italian, Continental, Beverages, Burger",700," Vijay Nagar, New Delhi",4.0,83,3.7,69,https://www.zomato.com/ncr/the-crypto-door-vijay-nagar-new-delhi,"H-8B, Ground Floor, Vijay Nagar, New Delhi",9.17043E+11,28.693203,77.204852,"Pasta Sandwich, Brownie Waffle, Shakes, Momos, Pizza",Medium(600-100)
